name,bus,Pmax,zone,PF,type,x,y,vn_kv
load_97_79,97,22.1,R2,0.0,residential,819,-510,138.0
load_98_80,98,20.0,R2,0.0,residential,858,-487,138.0
load_99_81,99,59.5,R3,0.0,residential,851,-582,138.0
load_100_82,100,35.4,R3,0.0,residential,833,-672,138.0
load_101_83,101,8.0,R3,0.0,residential,777,-671,138.0
load_102_84,102,37.0,R3,0.0,residential,895,-672,138.0
load_103_85,103,61.1,R3,0.1,residential,901,-579,138.0
load_104_86,104,49.8,R3,0.0,residential,942,-583,138.0
load_105_87,105,69.1,R3,0.1,residential,941,-506,138.0
load_106_88,106,44.4,R3,0.0,residential,988,-582,138.0
load_107_89,107,3.2,R3,0.0,residential,948,-625,138.0
load_108_90,108,12.9,R3,0.0,residential,951,-650,138.0
load_109_91,109,62.7,R3,0.1,residential,937,-699,138.0
load_111_92,111,40.2,R3,0.0,residential,987,-699,138.0
load_112_93,112,15.0,R1,0.0,residential,203,-276,138.0
load_113_94,113,8.8,R1,0.0,residential,188,-399,138.0
load_114_95,114,24.3,R1,0.0,residential,229,-401,138.0
load_115_96,115,5.0,R2,0.0,residential,781,-362,345.0
load_116_97,116,22.1,R1,0.0,residential,257,-81,138.0
load_117_98,117,21.4,R2,0.0,residential,628,-487,138.0
